#,ごい,Vocabulary,Type,Meaning
243,借りる,kariru,"Verb, Ichidan verb, Transitive verb",to borrow
,,かりる,,
244,軽い,karui,"Adjective, い-adjective",light
,,かるい,,
245,傘,kasa,Noun,umbrella
,,かさ,,
246,貸す,kasu,"Verb, Godan verb, Transitive verb",to lend; to loan
,,かす,,
247,方,kata,Noun,way of doing something
,,かた,,
248,家庭,katei,Noun,household
,,かてい,,
249,買う,kau,"Verb, Godan verb, Transitive verb",to buy; to purchase
,,かう,,
250,川,kawa,"Noun, Suffix",river; stream​
,,かわ,,
251,可愛い,kawaii,"Adjective, い-adjective",cute
,,かわいい,,
252,火曜日,kayoubi,Noun,Tuesday
,,かようび,,
253,風,kaze,Noun,wind
,,かぜ,,
254,風邪,kaze,Noun,a cold
,,かぜ,,
255,家族,kazoku,Noun,family; members of a family
,,かぞく,,
256,警官,keikan,Noun,policeman; police officer
,,けいかん,,
257,結婚,kekkon,"Noun, Suru verb",marriage
,,けっこん,,
258,結構,kekkou,"Noun, Adverbial Noun, Adjective, な-adjective, Adverb","splendid, enough"
,,けっこう,,
259,今朝,kesa,"Noun, Temporal noun",this morning
,,けさ,,
260,消す,kesu,"Verb, Godan verb, Transitive verb","to erase, to turn off power"
,,けす,,
261,木,ki,Noun,tree; shrub; bush; wood; timber
,,き,,
262,消える,kieru,"Verb, Ichidan verb, Intransitive verb",to disappear
,,きえる,,
263,黄色い,kiiroi,"Adjective, い-adjective",yellow
,,きいろい,,
264,聞く,kiku,"Verb, Godan verb, Transitive verb",to hear; to listen (to music); to ask; to learn of
,,きく,,
265,昨日,kinou,Noun,yesterday
,,きのう,,
266,金曜日,kinyoubi,Noun,Friday
,,きんようび,,
267,切符,kippu,Noun,ticket
,,きっぷ,,
268,嫌い,kirai,"Noun, Adjective, な-adjective",hate
,,きらい,,
269,綺麗,kirei,"Adjective, な-adjective",pretty; lovely; beautiful
,,きれい,,
270,キログラム,kiro guramu,"Noun, Katakana",kilogram
271,キロメートル,kiro meetoru,"Noun, Katakana",kilometer
272,切る,kiru,"Verb, Godan verb, Transitive verb",to cut
,,きる,,
273,着る,kiru,"Verb, Ichidan verb, Transitive verb",to wear
,,きる,,
274,喫茶店,kissaten,Noun,coffee shop; tearoom; cafe
,,きっさてん,,
275,北,kita,Noun,north
,,きた,,
276,汚い,kitanai,"Adjective, い-adjective",dirty
